Dec 17, 2023  -  Hawthorne Theatre - Portland, Oregon, United States
Dec 16, 2023  -  Hawthorne Theatre - Portland, Oregon, United States
Dec 15, 2023  -  The Rebel Lounge - Phoenix, Arizona, United States
Dec 14, 2023  -  The Rebel Lounge - Phoenix, Arizona, United States
Dec 07, 2023  -  Lost Lake Lounge - Denver, Colorado, United States
Dec 06, 2023  -  The Roxy Theatre - West Hollywood, California, United States
Dec 02, 2023  -  Skyway Theatre - Minneapolis, Minnesota, United States
Dec 01, 2023  -  Lincoln Hall - Chicago, Illinois, United States
Nov 19, 2023  -  Mercury Lounge - New York, New York, United States
Nov 17, 2023  -  Mercury Lounge - New York, New York, United States
Nov 16, 2023  -  DC9 Nightclub - Washington, D.C., United States
Nov 12, 2023  -  Mercury Lounge - New York, New York, United States
Nov 11, 2023  -  DC9 Nightclub - Washington, D.C., United States
Mar 14, 2020  -  Subterranean - Chicago, Illinois, United States
Sep 12, 2019 - Troubadour - West Hollywood, California, United States
Jun 15, 2018 - The Roxy Theatre - West Hollywood, California, United States
